SUCCESS Run 1: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 0.0, 'seed': 42} => {'run_id': 1, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 0.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l21.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 2: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 1.0, 'seed': 42} => {'run_id': 2, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 1.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l21.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 3: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 1.0, 'random_strength': 0.0, 'seed': 42} => {'run_id': 3, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 1.0, 'random_strength': 0.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l21.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 4: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 1.0, 'random_strength': 1.0, 'seed': 42} => {'run_id': 4, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 1.0, 'random_strength': 1.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l21.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 5: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 0.8, 'colsample_bylevel': 1.0, 'bagging_temperature': 0.0, 'random_strength': 0.0, 'seed': 42} => {'run_id': 5, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 0.8, 'colsample_bylevel': 1.0, 'bagging_temperature': 0.0, 'random_strength': 0.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l21.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 6: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 0.8, 'colsample_bylevel': 1.0, 'bagging_temperature': 0.0, 'random_strength': 1.0, 'seed': 42} => {'run_id': 6, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 0.8, 'colsample_bylevel': 1.0, 'bagging_temperature': 0.0, 'random_strength': 1.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l21.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 7: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 0.8, 'colsample_bylevel': 1.0, 'bagging_temperature': 1.0, 'random_strength': 0.0, 'seed': 42} => {'run_id': 7, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 0.8, 'colsample_bylevel': 1.0, 'bagging_temperature': 1.0, 'random_strength': 0.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l21.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 8: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 0.8, 'colsample_bylevel': 1.0, 'bagging_temperature': 1.0, 'random_strength': 1.0, 'seed': 42} => {'run_id': 8, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 0.8, 'colsample_bylevel': 1.0, 'bagging_temperature': 1.0, 'random_strength': 1.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l21.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 9: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 1.0, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 0.0, 'seed': 42} => {'run_id': 9, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 1.0, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 0.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l21.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 10: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 1.0, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 1.0, 'seed': 42} => {'run_id': 10, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 1.0, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 1.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l21.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 11: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 1.0, 'colsample_bylevel': 0.8, 'bagging_temperature': 1.0, 'random_strength': 0.0, 'seed': 42} => {'run_id': 11, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 1.0, 'colsample_bylevel': 0.8, 'bagging_temperature': 1.0, 'random_strength': 0.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l21.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 12: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 1.0, 'colsample_bylevel': 0.8, 'bagging_temperature': 1.0, 'random_strength': 1.0, 'seed': 42} => {'run_id': 12, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 1.0, 'colsample_bylevel': 0.8, 'bagging_temperature': 1.0, 'random_strength': 1.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l21.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 13: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 1.0, 'colsample_bylevel': 1.0, 'bagging_temperature': 0.0, 'random_strength': 0.0, 'seed': 42} => {'run_id': 13, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 1.0, 'colsample_bylevel': 1.0, 'bagging_temperature': 0.0, 'random_strength': 0.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l21.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 14: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 1.0, 'colsample_bylevel': 1.0, 'bagging_temperature': 0.0, 'random_strength': 1.0, 'seed': 42} => {'run_id': 14, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 1.0, 'colsample_bylevel': 1.0, 'bagging_temperature': 0.0, 'random_strength': 1.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l21.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 15: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 1.0, 'colsample_bylevel': 1.0, 'bagging_temperature': 1.0, 'random_strength': 0.0, 'seed': 42} => {'run_id': 15, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 1.0, 'colsample_bylevel': 1.0, 'bagging_temperature': 1.0, 'random_strength': 0.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l21.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 16: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 1.0, 'colsample_bylevel': 1.0, 'bagging_temperature': 1.0, 'random_strength': 1.0, 'seed': 42} => {'run_id': 16, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 1, 'subsample': 1.0, 'colsample_bylevel': 1.0, 'bagging_temperature': 1.0, 'random_strength': 1.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l21.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 17: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 3, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 0.0, 'seed': 42} => {'run_id': 17, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 3, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 0.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l23.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
SUCCESS Run 18: {'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 3, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 1.0, 'seed': 42} => {'run_id': 18, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 3, 'subsample': 0.8, 'colsample_bylevel': 0.8, 'bagging_temperature': 0.0, 'random_strength': 1.0, 'seed': 42, 'model_path': '/content/drive/MyDrive/Phiradon168/output_default/model_lr0.01_depth6_l23.joblib', 'features': 'Close', 'accuracy': -1.0, 'auc': nan, 'metric': -1.0, 'time': '2025-06-11 08:57:27'}
